comment_id,Texto,Sentiment,Hashtag_1,Hashtag_2,Retweets,Likes,User_id,Comment_Date,Day_Time
21,Sipping coffee and enjoying a good book.,Positive,#Reading,#CoffeeTime,22,45,20,21-01-23,08:40:00
22,Exploring the world of virtual reality.,Positive,#VR,#VirtualReality,15,30,21,21-01-23,13:20:00
23,Productive day ticking off my to-do list.,Positive,#Productivity,#WorkFromHome,30,60,22,21-01-23,16:45:00
24,Just finished a challenging workout routine.,Positive,#Fitness,#ChallengeAccepted,20,40,23,22-01-23,09:15:00
25,Celebrating a milestone at work!,Positive,#Career,#Milestone,12,25,24,22-01-23,14:30:00
26,Sunday brunch with friends.,Positive,#Brunch,#Friends,15,30,25,22-01-23,12:00:00
27,Learning a new language for personal growth.,Positive,#LanguageLearning,#PersonalGrowth,25,50,26,23-01-23,16:20:00
28,Quiet evening with a good book.,Positive,#Reading,#QuietTime,15,30,27,23-01-23,19:45:00
29,Reflecting on the importance of mental health.,Positive,#MentalHealth,#SelfCare,22,45,28,24-01-23,11:30:00
30,New painting in progress!,Positive,#Art,#PaintingInProgress,12,25,29,24-01-23,15:00:00
31,Weekend road trip to explore scenic views.,Positive,#RoadTrip,#ScenicViews,18,35,30,24-01-23,17:30:00
32,Enjoying a cup of tea and watching the sunset.,Positive,#TeaTime,#Sunset,15,30,31,25-01-23,18:00:00
33,Coding a new project with enthusiasm.,Positive,#Coding,#Enthusiasm,30,60,32,25-01-23,13:15:00
34,Feeling inspired after attending a workshop.,Positive,#Inspiration,#Workshop,25,50,33,26-01-23,09:45:00
35,Winter sports day at the local park.,Positive,#WinterSports,#Fun,15,30,34,26-01-23,14:20:00
36,Quality time with family this weekend.,Positive,#FamilyTime,#Weekend,22,45,35,26-01-23,17:40:00
37,Attending a live music concert tonight.,Positive,#Music,#ConcertNight,18,35,36,27-01-23,20:00:00
38,Practicing mindfulness with meditation.,Positive,#Mindfulness,#Meditation,15,30,37,27-01-23,12:30:00
39,Trying out a new dessert recipe.,Positive,#Dessert,#Cooking,12,25,38,27-01-23,16:10:00
40,Excited about the upcoming gaming tournament.,Positive,#Gaming,#Tournament,30,60,39,28-01-23,09:00:00
41,Planning a garden makeover for spring.,Positive,#Gardening,#Spring,25,50,40,28-01-23,14:45:00
42,Celebrating a friend's birthday tonight! ,Positive,#Birthday,#Celebration,15,30,41,28-01-23,19:30:00
43,Feeling accomplished after a productive day.,Positive,#Accomplished,#Success,22,45,42,29-01-23,17:00:00
44,A cozy evening with a good movie.,Positive,#CozyNight,#MovieTime,18,35,43,29-01-23,20:20:00
45,Exploring local art galleries this weekend.,Positive,#Art,#GalleryExplore,15,30,44,30-01-23,11:30:00
46,New book release from my favorite author!,Positive,#BookRelease,#FavoriteAuthor,12,25,45,30-01-23,15:45:00
47,Attending a virtual reality meetup.,Positive,#VRMeetup,#VirtualReality,28,55,46,30-01-23,18:30:00
48,Reflecting on the beauty of nature.,Positive,#Nature,#Reflection,15,30,47,31-01-23,10:45:00
49,Cooking a special dinner for loved ones.,Positive,#Cooking,#SpecialDinner,20,40,48,31-01-23,19:00:00
50,Feeling optimistic about the week ahead.,Positive,#Optimism,#NewWeek,15,30,49,31-01-23,16:20:00
51,Starting a new fitness challenge tomorrow! ,Positive,#FitnessChallenge,#NewBeginnings,22,45,50,01-02-23,08:00:00
52,Sunday bike ride through scenic trails.,Positive,#BikeRide,#ScenicTrails,18,35,51,01-02-23,13:30:00
53,Can't believe the injustice happening in our society.,Anger,#Injustice,#Angry,20,40,52,11-02-23,09:30:00
54,Feeling a sense of fear after watching a thriller movie.,Fear,#Fear,#ThrillerMovie,15,30,53,11-02-23,21:15:00
55,Heartbroken after hearing the news about a natural disaster.,Sadness,#Sadness,#NaturalDisaster,25,50,54,12-02-23,14:45:00
56,The state of the world's environment is just disgusting.,Disgust,#Disgust,#Environment,18,35,55,12-02-23,18:20:00
57,Pure happiness: celebrating a loved one's achievement!,Happiness,#Happiness,#Celebration,30,60,56,13-02-23,10:00:00
58,Laughter is the best medicine???enjoying a comedy show.,Joy,#Joy,#ComedyShow,22,45,57,13-02-23,19:30:00
59,Sharing love and positive vibes with everyone!,Love,#Love,#SpreadLove,15,30,58,14-02-23,08:30:00
60,An amusing incident brightened up my day!,Amusement,#Amusement,#FunTimes,18,35,59,14-02-23,14:20:00
61,Enjoying a quiet evening with a book and some tea.,Enjoyment,#Enjoyment,#BookTime,25,50,60,14-02-23,19:45:00
62,Admiring the beauty of nature during a peaceful hike.,Admiration,#Admiration,#Nature,20,40,61,15-02-23,11:30:00
63,Sending affectionate vibes to all my followers!,Affection,#Affection,#PositiveVibes,15,30,62,15-02-23,16:00:00
64,Experiencing awe at the breathtaking sunset.,Awe,#Awe,#Breathtaking,22,45,63,15-02-23,20:30:00
65,Disappointed with the service at a local restaurant.,Disappointed,#Disappointed,#BadService,18,35,64,16-02-23,09:00:00
66,A surprise gift from a friend made my day!,Surprise,#Surprise,#Gift,25,50,65,16-02-23,14:45:00
67,Finding acceptance in the midst of life's challenges.,Acceptance,#Acceptance,#Challenges,15,30,66,16-02-23,18:20:00
68,Overflowing with adoration for my adorable pet! ,Adoration,#Adoration,#PetLove,22,45,67,17-02-23,10:45:00
69,Anticipating a thrilling adventure in the coming weeks.,Anticipation,#Anticipation,#Adventure,20,40,68,17-02-23,07:30:00
70,A bitter experience turned into a valuable lesson.,Bitter,#BitterLesson,#Growth,18,35,69,17-02-23,15:00:00
71,Finding calmness in the midst of a busy day.,Calmness,#Calmness,#PeacefulMind,15,30,70,18-02-23,09:30:00
72,Confusion clouds my mind as I navigate through decisions.,Confusion,#Confusion,#DecisionMaking,25,50,71,18-02-23,14:20:00
73,Excitement building up for the upcoming vacation!,Excitement,#Excitement,#TravelPlans,22,45,72,18-02-23,18:45:00
74,Kindness witnessed today restored my faith in humanity.,Kind,#Kindness,#Humanity,20,40,73,19-02-23,11:30:00
75,Pride in achieving a personal milestone.,Pride,#Pride,#Milestone,30,60,74,19-02-23,16:00:00
76,A moment of shame for not standing up against injustice.,Shame,#Shame,#Injustice,15,30,75,19-02-23,19:45:00
77,Fuming with anger after a heated argument.,Anger,#Anger,#Argument,20,40,76,20-02-23,09:30:00
78,The fear of the unknown is keeping me up at night.,Fear,#Fear,#Unknown,15,30,77,20-02-23,21:15:00
79,Heartfelt sadness after bidding farewell to a dear friend.,Sadness,#Sadness,#Farewell,25,50,78,21-02-23,14:45:00
80,The state of corruption in our society is utterly disgusting.,Disgust,#Disgust,#Corruption,18,35,79,21-02-23,18:20:00
81,Overflowing happiness: welcoming a new family member!,Happiness,#Happiness,#NewFamilyMember,30,60,80,22-02-23,10:00:00
82,Laughter is the key to joy???attending a stand-up comedy show.,Joy,#Joy,#StandUpComedy,22,45,81,22-02-23,19:30:00
83,Sending love to all my followers on this beautiful day! ,Love,#Love,#SpreadLove,15,30,82,23-02-23,08:30:00
84,Amused by the antics of my pet???it's pure amusement!,Amusement,#Amusement,#PetAntics,18,35,83,23-02-23,14:20:00
85,Enjoying every moment of this trip???pure enjoyment!,Enjoyment,#Enjoyment,#Travel,25,50,84,23-02-23,19:45:00
86,Admiring the dedication of volunteers at a local charity.,Admiration,#Admiration,#Volunteers,20,40,85,24-02-23,11:30:00
87,Sending affectionate vibes to friends and family.,Affection,#Affection,#FamilyLove,15,30,86,24-02-23,16:00:00
88,Awe-struck by the beauty of the night sky.,Awe,#Awe,#StarryNight,22,45,87,24-02-23,20:30:00
89,Disappointed with the lack of progress in a personal project.,Disappointed,#Disappointed,#Project,18,35,88,25-02-23,09:00:00
90,A surprise visit from an old friend brought tears of joy.,Surprise,#Surprise,#OldFriends,25,50,89,25-02-23,14:45:00
91,Embracing acceptance of life's ups and downs.,Acceptance,#Acceptance,#LifeJourney,15,30,90,25-02-23,18:20:00
92,Overflowing adoration for a cute rescue puppy! ,Adoration,#Adoration,#PuppyLove,22,45,91,26-02-23,10:45:00
93,Anticipating the release of a much-awaited movie.,Anticipation,#Anticipation,#MovieRelease,20,40,92,26-02-23,07:30:00
94,Bitter experience at the customer service department.,Bitter,#BitterExperience,#CustomerService,18,35,93,26-02-23,15:00:00
95,Finding calmness amidst the chaos of daily life.,Calmness,#Calmness,#InnerPeace,15,30,94,27-02-23,09:30:00
96,Confusion reigns as I try to make sense of recent events.,Confusion,#Confusion,#MakingSense,25,50,95,27-02-23,14:20:00
97,Excitement building up for a surprise birthday party.,Excitement,#Excitement,#SurpriseParty,22,45,96,27-02-23,18:45:00
98,Witnessed an act of kindness that made my day.,Kind,#Kindness,#ActsOfKindness,20,40,97,28-02-23,11:30:00
99,Pride in completing a challenging fitness challenge.,Pride,#Pride,#FitnessChallengeCompleted,30,60,98,28-02-23,16:00:00
100,A moment of shame for not speaking up against injustice.,Shame,#Shame,#Injustice,15,30,99,28-02-23,19:45:00
101,Reflecting on the beauty of diversity in our world.,Acceptance,#Acceptance,#Diversity,22,45,100,01-03-23,10:45:00
102,Excitement for a quiet evening with a good book.,Excitement,#Excitement,#BookTime,18,35,101,01-03-23,13:30:00
103,Feeling bitter about the unfairness in the workplace.,Bitter,#Bitter,#Unfairness,15,30,102,01-03-23,17:45:00
104,Calmness prevails as I practice mindfulness.,Calmness,#Calmness,#Mindfulness,15,30,103,02-03-23,18:00:00
105,Confusion surrounds me as I navigate through life's choices.,Confusion,#Confusion,#LifeChoices,30,60,104,02-03-23,13:15:00
106,Excitement for a weekend road trip to explore new places.,Excitement,#Excitement,#WeekendAdventure,25,50,105,02-03-23,16:45:00
107,Kindness witnessed today restores my faith in humanity.,Kind,#Kindness,#HumanityRestored,22,45,106,03-03-23,11:30:00
108,Pride in accomplishing personal and professional goals.,Pride,#Pride,#Accomplishments,12,25,107,03-03-23,14:30:00
109,Shame for not being true to my values in a difficult situation.,Shame,#Shame,#Integrity,15,30,108,03-03-23,12:00:00
110,"Revisiting old memories, feeling a sense of elation.",Elation,#Elation,#Memories,20,40,109,15-05-10,15:30:00
111,The victory of our team brought euphoria to the city.,Euphoria,#Euphoria,#Victory,15,30,110,10-08-21,21:15:00
112,"Embracing the beauty of nature, a moment of contentment.",Contentment,#Contentment,#Nature,25,50,111,20-06-11,14:45:00
113,"Meditating by the serene lake, finding inner peace.",Serenity,#Serenity,#Meditation,18,35,112,12-02-22,18:20:00
114,Overflowing with gratitude for life's blessings.,Gratitude,#Gratitude,#Blessed,30,60,113,25-11-12,10:00:00
115,"Hopeful for a brighter tomorrow, despite challenges.",Hope,#Hope,#Optimism,22,45,114,05-04-13,19:30:00
116,Empowered to make a difference in my community.,Empowerment,#Empowerment,#Community,15,30,115,14-09-14,08:30:00
117,Compassion in action: supporting a local charity event.,Compassion,#Compassion,#CharityEvent,18,35,116,18-07-15,14:20:00
118,"A moment of tenderness, connecting with loved ones.",Tenderness,#Tenderness,#FamilyTime,25,50,117,23-02-16,19:45:00
119,Arousal of excitement as I await a special announcement.,Arousal,#Arousal,#Excitement,20,40,118,30-10-17,11:30:00
120,Enthusiastically diving into a new project.,Enthusiasm,#Enthusiasm,#NewProject,15,30,119,15-06-18,16:00:00
121,Feeling a sense of fulfillment after reaching a milestone.,Fulfillment,#Fulfillment,#Milestone,22,45,120,28-03-19,18:20:00
122,Reverence for the beauty of a historic landmark.,Reverence,#Reverence,#History,18,35,121,11-11-19,15:00:00
123,Elation after a surprise reunion with old friends.,Elation,#Elation,#OldFriends,25,50,122,02-04-20,09:30:00
124,The euphoria of a live music concert under the stars.,Euphoria,#Euphoria,#LiveMusic,15,30,123,19-06-21,14:45:00
125,Contentment in the simplicity of a quiet Sunday.,Contentment,#Contentment,#SundayMood,30,60,124,15-08-10,10:00:00
126,Serenity found in the pages of a favorite book.,Serenity,#Serenity,#BookTime,22,45,125,22-09-11,19:30:00
127,Gratitude for the support received during tough times.,Gratitude,#Gratitude,#Supportive,15,30,126,10-03-12,08:30:00
128,Hopeful about the possibilities of a new journey.,Hope,#Hope,#NewBeginnings,18,35,127,05-12-13,16:00:00
129,Empowerment through learning and personal growth.,Empowerment,#Empowerment,#PersonalGrowth,25,50,128,20-07-14,11:30:00
130,Compassion towards those in need during the holidays.,Compassion,#Compassion,#HolidaySupport,18,35,129,22-12-15,14:20:00
131,Tenderness in the warmth of a cozy winter evening.,Tenderness,#Tenderness,#CozyEvening,25,50,130,10-02-16,19:45:00
132,Arousal of excitement for an upcoming adventure.,Arousal,#Arousal,#AdventureTime,20,40,131,30-04-17,11:30:00
133,Enthusiasm for a creative project in the making.,Enthusiasm,#Enthusiasm,#Creativity,15,30,132,15-09-18,16:00:00
134,Fulfillment in completing a challenging workout routine.,Fulfillment,#Fulfillment,#FitnessGoals,22,45,133,28-06-19,18:20:00
135,Reverence for the artistry displayed in a museum.,Reverence,#Reverence,#ArtAppreciation,18,35,134,11-11-20,15:00:00
136,Elation after achieving a personal goal.,Elation,#Elation,#PersonalAchievement,25,50,135,02-03-21,09:30:00
137,Elation over discovering a hidden gem in the city.,Elation,#Elation,#HiddenGem,20,40,136,18-02-12,14:30:00
138,The euphoria of a surprise birthday celebration.,Euphoria,#Euphoria,#BirthdaySurprise,15,30,137,05-11-18,21:45:00
139,Contentment in the simplicity of a home-cooked meal.,Contentment,#Contentment,#HomeCooking,25,50,138,12-09-15,13:20:00
140,Serenity found in the melody of a peaceful piano.,Serenity,#Serenity,#PeacefulMelody,18,35,139,30-07-16,18:10:00
141,Gratitude for the supportive community around me.,Gratitude,#Gratitude,#CommunitySupport,30,60,140,20-04-13,10:30:00
142,Hopeful about the prospects of a new business venture.,Hope,#Hope,#BusinessVenture,22,45,141,08-12-17,19:15:00
143,Empowerment through mentoring and guiding others.,Empowerment,#Empowerment,#Mentorship,15,30,142,03-06-14,08:20:00
144,Compassion shown through acts of kindness in the community.,Compassion,#Compassion,#CommunityKindness,18,35,143,15-01-19,14:50:00
145,Tenderness in a heartfelt message to a loved one.,Tenderness,#Tenderness,#LoveNote,25,50,144,25-12-16,19:30:00
146,Arousal of excitement before a much-awaited trip.,Arousal,#Arousal,#TravelAdventure,20,40,145,10-03-18,09:45:00
147,Enthusiasm for a new artistic project in the works.,Enthusiasm,#Enthusiasm,#ArtisticProject,15,30,146,17-09-20,16:30:00
148,Feeling a sense of fulfillment after helping others.,Fulfillment,#Fulfillment,#HelpingOthers,22,45,147,28-08-11,18:45:00
149,Reverence for the historical significance of a landmark.,Reverence,#Reverence,#HistoricalSite,18,35,148,01-11-17,15:30:00
150,Elation after achieving a fitness milestone.,Elation,#Elation,#FitnessMilestone,25,50,149,15-06-19,10:00:00
151,The euphoria of a successful product launch.,Euphoria,#Euphoria,#ProductLaunchSuccess,15,30,150,03-04-22,11:45:00
152,Contentment in the embrace of a loved one.,Contentment,#Contentment,#Love,30,60,151,12-11-10,20:20:00
153,Serenity found in the beauty of a sunset by the sea.,Serenity,#Serenity,#SunsetViews,22,45,152,22-07-11,18:30:00
154,Gratitude for the small joys that each day brings.,Gratitude,#Gratitude,#SmallJoys,15,30,153,30-03-12,11:20:00
155,Hopeful about the potential for personal growth.,Hope,#Hope,#PersonalDevelopment,18,35,154,05-10-13,16:40:00
156,Empowerment through learning a new skill.,Empowerment,#Empowerment,#SkillBuilding,25,50,155,10-07-14,13:15:00
157,Compassion in volunteering for a local charity.,Compassion,#Compassion,#VolunteerWork,18,35,156,18-12-15,14:20:00
158,Tenderness in a quiet moment shared with a pet.,Tenderness,#Tenderness,#PetLove,25,50,157,10-02-16,19:45:00
159,Arousal of excitement for an upcoming festival.,Arousal,#Arousal,#FestivalExcitement,20,40,158,25-09-17,11:30:00
160,Enthusiasm for a DIY home improvement project.,Enthusiasm,#Enthusiasm,#HomeImprovement,15,30,159,15-04-18,16:00:00
161,Fulfillment in completing a challenging puzzle.,Fulfillment,#Fulfillment,#PuzzleChallenge,22,45,160,28-11-19,18:20:00
162,Reverence for the wonders of nature on a hiking trail.,Reverence,#Reverence,#NatureExploration,18,35,61,11-05-20,15:00:00
163,Elation after a surprise reunion with a childhood friend.,Elation,#Elation,#FriendshipReunion,25,50,162,05-02-21,09:30:00
164,Suffering from despair after another setback.,Despair,#Despair,#Struggle,5,10,163,10-03-21,08:30:00
165,"Overwhelmed by grief, missing a loved one dearly.",Grief,#Grief,#Loss,8,15,164,05-07-22,15:45:00
166,Loneliness creeps in as the night grows colder.,Loneliness,#Loneliness,#Isolation,10,20,165,18-11-19,21:20:00
167,Jealousy consumes me as I witness others' success.,Jealousy,#Jealousy,#Envy,12,25,166,12-08-20,11:30:00
168,Resentment building up over past betrayals.,Resentment,#Resentment,#Bitterness,7,15,167,22-05-18,14:45:00
169,Frustration mounts as obstacles block my path.,Frustration,#Frustration,#Obstacles,10,20,168,30-01-17,16:10:00
170,"Boredom sets in, the day feels endlessly dull.",Boredom,#Boredom,#LackOfInterest,8,15,169,28-09-16,19:45:00
171,"Anxiety grips my heart, worry clouds my thoughts.",Anxiety,#Anxiety,#Worry,12,25,170,15-04-19,09:00:00
172,Intimidation by the unknown future ahead.,Intimidation,#Intimidation,#Fear,15,30,171,03-12-21,18:30:00
173,Helplessness sinks in as challenges pile up.,Helplessness,#Helplessness,#Overwhelmed,8,15,172,20-06-20,14:20:00
174,Envy eats away at me as I see others' prosperity.,Envy,#Envy,#Desire,10,20,173,07-11-18,11:30:00
175,Regret over missed opportunities haunts my thoughts.,Regret,#Regret,#MissedChances,12,25,174,25-08-17,16:00:00
176,Disgust at the sight of injustice and cruelty.,Disgust,#Disgust,#Injustice,7,15,175,11-02-19,09:45:00
177,"Drowning in despair, hope slipping through my fingers.",Despair,#Despair,#Hopeless,10,20,176,02-04-16,20:20:00
178,"Grief weighs heavy, tears a constant companion.",Grief,#Grief,#Tears,12,25,177,18-10-15,15:30:00
179,"Loneliness in a crowded room, a silent cry for connection.",Loneliness,#Loneliness,#SeekingConnection,15,30,178,12-07-19,18:10:00
180,"Jealousy gnaws at my confidence, a toxic emotion.",Jealousy,#Jealousy,#Insecurity,8,15,179,03-06-18,16:30:00
181,"Resentment festers, poisoning relationships.",Resentment,#Resentment,#BrokenTrust,10,20,180,15-01-22,12:00:00
182,"Frustration boils over, a volcanic eruption of emotions.",Frustration,#Frustration,#EmotionalOutburst,12,25,181,10-04-17,14:45:00
183,"Boredom settles like dust, life feels mundane.",Boredom,#Boredom,#Monotony,7,15,182,28-11-16,19:00:00
184,"Anxiety grips my chest, a relentless grip on my thoughts.",Anxiety,#Anxiety,#Restlessness,10,20,183,05-09-18,09:30:00
185,"Intimidation by the challenges ahead, fear takes hold.",Intimidation,#Intimidation,#FacingFear,15,30,184,22-10-21,18:30:00
186,"Helplessness engulfs me, drowning in a sea of problems.",Helplessness,#Helplessness,#Struggling,8,15,185,08-05-19,14:20:00
187,"Envy poisons my thoughts, coveting others' success.",Envy,#Envy,#Success,10,20,186,20-03-17,11:30:00
188,Regret for decisions that led to a painful present.,Regret,#Regret,#PastChoices,12,25,187,15-12-18,16:00:00
189,Disgust at the corruption that stains society.,Disgust,#Disgust,#Corruption,7,15,188,01-07-16,09:45:00
190,"Sinking in despair, each day darker than the last.",Despair,#Despair,#DarkDays,10,20,189,20-08-20,20:20:00
191,"Grief overwhelms, a storm of emotions within.",Grief,#Grief,#EmotionalStorm,12,25,190,25-02-21,15:30:00
192,"Loneliness echoes in empty spaces, yearning for connection.",Loneliness,#Loneliness,#YearningForConnection,15,30,191,12-09-19,18:10:00
193,"Jealousy poisons my thoughts, resentment brewing within.",Jealousy,#Jealousy,#Resentment,8,15,192,05-08-18,16:30:00
194,"Resentment festers, a wound that refuses to heal.",Resentment,#Resentment,#Unforgiving,10,20,193,12-01-17,12:00:00
195,"Frustration escalates, a thunderstorm of emotions.",Frustration,#Frustration,#EmotionalOutburst,12,25,194,05-04-22,14:45:00
196,"Boredom lingers, a stagnant pool of indifference.",Boredom,#Boredom,#Stagnation,7,15,195,02-10-21,19:00:00
197,"Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge.",Curiosity,#Curiosity,#Learning,15,30,196,15-04-23,10:15:00
198,"Lost in the vast sea of information, an indifferent wave in the digital ocean.",Indifference,#Indifference,#DigitalOverload,7,15,197,28-11-22,17:30:00
199,"The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos.",Confusion,#Confusion,#LifePuzzle,10,20,198,02-04-20,09:45:00
200,"A numbness settles over me, a shield against the overwhelming emotions life throws my way.",Numbness,#Numbness,#EmotionalShield,8,15,199,10-08-21,14:00:00
201,"Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time.",Melancholy,#Melancholy,#SunsetMoments,12,25,200,18-06-19,20:45:00
202,"Revisiting old photographs, caught in the embrace of nostalgia's bittersweet symphony.",Nostalgia,#Nostalgia,#MemoryLane,10,20,201,05-02-18,15:15:00
203,"Torn between conflicting emotions, an ambivalence that paints my decisions in shades of uncertainty.",Ambivalence,#Ambivalence,#UncertainChoices,12,25,202,30-05-22,11:30:00
204,"Embracing the ebb and flow of life, finding acceptance in the dance of existence.",Acceptance,#Acceptance,#LifeJourney,15,30,203,10-01-23,16:20:00
205,"Facing challenges head-on, a determination that fuels the fire within to achieve the impossible.",Determination,#Determination,#AchieveTheImpossible,10,20,204,18-09-20,13:45:00
206,"Serenity found in the stillness of nature, a tranquil retreat from the chaos of the modern world.",Serenity,#Serenity,#NatureRetreat,12,25,205,03-07-21,19:00:00
207,"Curiosity leading me down the rabbit hole of knowledge, a perpetual student in life's classroom.",Curiosity,#Curiosity,#KnowledgeQuest,20,40,206,08-10-22,08:15:00
208,"Floating through the day with an air of indifference, detached from the mundane happenings around.",Indifference,#Indifference,#FloatingThroughLife,10,20,207,22-03-23,16:30:00
209,"Entangled in the web of thoughts, confusion reigning as I navigate the labyrinth of ideas.",Confusion,#Confusion,#ThoughtLabyrinth,15,30,208,15-05-21,11:45:00
210,"Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil.",Numbness,#Numbness,#StoicFacade,8,15,209,28-12-19,14:30:00
211,"Melancholy whispers in the breeze, a silent conversation with the echoes of forgotten dreams.",Melancholy,#Melancholy,#WhispersInTheBreeze,12,25,210,01-03-20,19:00:00
212,"Stumbling upon an old journal, nostalgia flooding in waves, carrying me to moments long gone.",Nostalgia,#Nostalgia,#JournalMoments,10,20,211,10-07-18,15:45:00
213,"A tapestry of conflicting feelings, weaving through uncertainty, caught in the threads of ambivalence.",Ambivalence,#Ambivalence,#ConflictingFeelings,12,25,212,05-01-22,10:30:00
214,"Embracing the flaws, finding acceptance in imperfection, a journey towards self-love.",Acceptance,#Acceptance,#SelfLoveJourney,15,30,213,20-08-21,16:20:00
215,"Determination burning like a wildfire, overcoming obstacles, turning dreams into reality.",Determination,#Determination,#DreamsIntoReality,18,35,214,03-11-19,13:45:00
216,"Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace.",Serenity,#Serenity,#OceanRetreat,25,50,215,12-04-20,19:30:00
217,"Exploring new horizons with the spark of curiosity, an adventurer in the vast landscape of knowledge.",Curiosity,#Curiosity,#NewHorizons,22,45,216,15-04-22,08:45:00
218,"Drifting through the day with a nonchalant demeanor, embracing the art of indifference.",Indifference,#Indifference,#DriftingThroughLife,9,18,217,10-02-23,17:00:00
219,"Wrestling with thoughts, a perplexed mind lost in the labyrinth of life's complexities.",Confusion,#Confusion,#PerplexedMind,14,28,218,05-08-20,12:15:00
220,"Immersed in a state of emotional numbness, a shield against the storm of daily struggles.",Numbness,#Numbness,#EmotionalShield,10,20,219,01-12-21,15:30:00
221,"A melancholic symphony playing in the background, the soundtrack of a wistful heart.",Melancholy,#Melancholy,#WistfulHeart,13,26,220,25-03-19,21:00:00
222,"Flipping through the pages of an old yearbook, nostalgia painting smiles and tears on my face.",Nostalgia,#Nostalgia,#YearbookMemories,12,25,221,18-06-17,14:45:00
223,"Torn between opposing emotions, an ambivalence that colors my decisions with shades of uncertainty.",Ambivalence,#Ambivalence,#ShadesOfUncertainty,15,30,222,08-07-22,11:30:00
224,"Embracing life's imperfections, finding acceptance in the journey, scars and all.",Acceptance,#Acceptance,#ImperfectJourney,18,36,223,15-05-23,16:20:00
225,"A fiery determination burning within, fueled by the vision of reaching unparalleled heights.",Determination,#Determination,#UnparalleledHeights,20,40,224,10-09-21,14:45:00
226,"Basking in the serenity of a quiet forest, where the whispers of nature bring peace to the soul.",Serenity,#Serenity,#NatureWhispers,25,50,225,28-02-20,18:30:00
227,"Indifferent to the noise of the world, a silent observer in the midst of life's cacophony.",Indifference,#Indifference,#SilentObserver,9,18,226,10-03-23,16:30:00
228,"Navigating through the labyrinth of thoughts, confusion a constant companion in the maze of ideas.",Confusion,#Confusion,#ThoughtLabyrinth,14,28,227,02-05-21,11:45:00
229,"An impenetrable numbness shields me from the emotional storms, a fortress of stoic resilience.",Numbness,#Numbness,#StoicResilience,11,22,228,18-10-19,14:30:00
230,"Melancholy painting the world in hues of nostalgia, a canvas of bittersweet memories.",Melancholy,#Melancholy,#BittersweetMemories,13,26,229,05-01-20,20:00:00
231,"A journey into the past, flipping through the pages of an old diary, nostalgia taking the lead.",Nostalgia,#Nostalgia,#DiaryJourney,12,25,230,10-08-18,15:45:00
232,"Ambivalence clouding decisions, caught in the crossroads of conflicting emotions.",Ambivalence,#Ambivalence,#ConflictingEmotions,15,30,231,15-01-22,10:30:00
233,"Embracing imperfections, finding acceptance in the mosaic of life's beautiful chaos.",Acceptance,#Acceptance,#BeautifulChaos,18,36,232,20-07-21,16:20:00
234,"Determination as the driving force, propelling me forward on the path to extraordinary achievements.",Determination,#Determination,#ExtraordinaryPath,20,40,233,03-12-19,13:45:00
